GEOID,population,smallPop,education,poverty,foodstamps
15000US110010083012,1395,3,1009,225,0
15000US110010083021,2392,5,1887,375,10
15000US110010084021,1005,2,853,160,42
15000US110010084022,1006,2,906,131,120
15000US110010084101,1480,3,1072,259,47
15000US110010087011,1210,2,965,156,43
15000US110010087012,1149,2,907,176,99
15000US110010087021,1138,2,757,234,77
15000US110010087022,623,1,570,77,113
15000US110010088021,531,1,417,86,46
15000US110010088022,1342,3,906,227,163
15000US110010088023,1326,3,1046,229,101
15000US110010088024,1357,3,1064,245,121
15000US110010088031,1931,4,923,158,173
15000US110010088041,1042,2,702,180,95
15000US110010088042,1634,3,1293,239,314
15000US110010089031,2085,4,1523,481,206
15000US110010089032,1280,3,763,289,244
15000US110010089041,2097,4,1515,435,327
15000US110010089042,1036,2,800,181,121
15000US110010090001,1500,3,1150,264,192
15000US110010090002,1479,3,1228,274,301
15000US110010091021,1003,2,557,193,67
15000US110010091022,1965,4,1373,354,240
15000US110010091023,2285,5,1083,445,307
15000US110010092011,1877,4,1193,241,80
15000US110010092031,1178,2,697,226,193
15000US110010092032,1594,3,1084,182,30
15000US110010092041,861,2,685,200,133
15000US110010092042,2102,4,1267,487,365
15000US110010093011,671,1,537,195,32
15000US110010093012,894,2,670,173,26
15000US110010093013,811,2,614,205,21
15000US110010093014,981,2,722,188,31
15000US110010093021,1025,2,777,212,57
15000US110010094001,626,1,500,148,30
15000US110010094002,1364,3,988,266,112
15000US110010094003,1704,3,1246,303,64
15000US110010094004,814,2,644,215,13
15000US110010095011,2574,5,1662,512,246
15000US110010095012,989,2,554,156,85
15000US110010095013,3420,7,1097,315,90
15000US110010095031,1625,3,1151,377,38
15000US110010095032,793,2,586,181,57
15000US110010095033,844,2,553,178,12
15000US110010095041,1555,3,1179,363,55
15000US110010095042,1515,3,1269,273,34
15000US110010095051,918,2,615,169,47
15000US110010095052,928,2,873,269,54
15000US110010095053,954,2,568,180,51
15000US110010095071,1623,3,1144,320,38
15000US110010095081,1016,2,720,192,7
15000US110010095082,1241,2,941,225,21
15000US110010095083,1427,3,1097,331,63
15000US110010095091,1732,3,1376,397,57
15000US110010095092,833,2,592,209,13
15000US110010095093,752,2,596,144,6
15000US110010096011,2182,4,1258,479,305
15000US110010096021,1522,3,830,348,267
15000US110010096022,1632,3,962,394,309
15000US110010096031,1494,3,1152,361,201
15000US110010096032,406,1,294,51,37
15000US110010096033,999,2,636,115,201
15000US110010096041,1102,2,922,184,111
15000US110010096042,948,2,675,199,63
15000US110010097001,2367,5,1586,600,277
15000US110010097002,670,1,429,147,43
15000US110010098011,1925,4,1097,377,326
15000US110010098021,624,1,220,152,145
15000US110010098022,923,2,625,217,141
15000US110010098031,960,2,501,197,142
15000US110010098032,953,2,625,184,122
15000US110010098033,885,2,627,156,193
15000US110010098041,1560,3,823,325,188
15000US110010098042,958,2,679,207,132
15000US110010098071,753,2,493,152,108
15000US110010098072,2475,5,1570,543,365
15000US110010098101,1426,3,658,330,268
15000US110010098102,1069,2,661,253,126
15000US110010098111,1781,4,899,427,415
15000US110010098112,2964,6,1682,721,558
15000US110010099011,723,1,576,184,58
15000US110010099012,1513,3,1247,410,66
15000US110010099021,1124,2,852,287,81
15000US110010099022,1706,3,1253,423,115
15000US110010099031,1249,2,728,359,105
15000US110010099032,519,1,442,101,20
15000US110010099041,598,1,416,81,115
15000US110010099042,1573,3,848,307,248
15000US110010099051,1148,2,762,274,182
15000US110010099052,700,1,458,163,98
15000US110010099053,915,2,463,186,179
15000US110010099061,1519,3,1071,396,208
15000US110010099071,747,1,475,180,127
15000US110010099072,2095,4,1087,560,417
15000US110010101001,1712,3,1515,223,36
15000US110010101002,731,1,636,23,13
15000US110010102001,1043,2,869,253,10
15000US110010102002,1500,3,1261,274,9
15000US110010103001,922,2,680,148,24
15000US110010103002,1221,2,906,315,84
15000US110010103003,1304,3,976,249,76
15000US110010104001,2064,4,1163,397,225
15000US110010104002,2366,5,1694,334,340
15000US110010105001,1521,3,1157,247,187
15000US110010105002,1906,4,1752,321,54
15000US110010106001,1029,2,682,160,84
15000US110010106002,3281,7,2479,477,57
15000US110010106003,809,2,610,110,36
15000US110010107001,886,2,491,67,0
15000US110010107002,972,2,836,57,0
15000US110010108001,1609,3,214,7,0
15000US110010108002,2325,5,384,39,21
15000US110010108003,2362,5,292,14,0
15000US110010109001,1982,4,954,379,259
15000US110010109002,2150,4,968,233,217
15000US110010110001,586,1,509,109,74
15000US110010110002,670,1,519,129,0
15000US110010110003,624,1,582,93,0
15000US110010110004,1498,3,1356,254,0
15000US110010111001,1743,3,1164,383,69
15000US110010111002,1848,4,1273,301,159
15000US110010111003,1492,3,1268,146,71
